headline,summary,source,link,word_count,scraped_at
"Inside the 'kill-zone' on Ukraine's front line, where new weapons have transformed war","Machines are increasingly replacing humans on the front line, but troops are still vital for defending territory.",BBC World,https://www.bbc.com/news/articles/c3w2xqj9x13o?at_medium=RSS&at_campaign=rss,13,2026-05-20 09:13:33
Trump says he called off new Iran attack at request of Gulf states,"The US president says he is holding off on an attack planned for Tuesday as ""serious negotiations are now taking place"".",BBC World,https://www.bbc.com/news/articles/c7079e55zjro?at_medium=RSS&at_campaign=rss,13,2026-05-20 09:13:33
Satellites and AI used to track UK hedgehogs in bid to slow decline,Researchers hope the project will also help to identify barriers preventing hedgehogs from finding food and mates in the wild.,BBC Technology,https://www.bbc.com/news/articles/c202g60qrlpo?at_medium=RSS&at_campaign=rss,13,2026-05-20 09:13:33
"'Don't swim' at 12 of 14 river bathing sites, as more locations announced",Too much bacteria linked to faeces found at almost all England's designated river bathing sites,BBC Science,https://www.bbc.com/news/articles/cvgzvqq9345o?at_medium=RSS&at_campaign=rss,13,2026-05-20 09:13:33
The science of soulmates: Is there someone out there exactly right for you?,"For many, the idea of soulmates still shapes how love is understood.",BBC Science,https://www.bbc.com/news/articles/crrnyg9e91jo?at_medium=RSS&at_campaign=rss,13,2026-05-20 09:13:33
The debate about whether the NHS should use magic mushrooms to treat depression,Many clinical trials to test the use of psychedelic medicines for conditions such as depression have been underway since 2022 - with surprising results,BBC Science,https://www.bbc.com/news/articles/ckg936l88e7o?at_medium=RSS&at_campaign=rss,13,2026-05-20 09:13:33
The 40 minutes when the Artemis crew loses contact with the Earth,As the astronauts pass behind the Moon they will experience a moment of silence and solitude as communication with the Earth is blocked.,BBC Science,https://www.bbc.com/news/articles/cj0vyzmmy50o?at_medium=RSS&at_campaign=rss,12,2026-05-20 09:13:33
"Higgs boson breakthrough was UK triumph, but British physics faces 'catastrophic' cuts",Britain is preparing to cancel its contribution to one of the Large Hadron Collider's next major upgrades.,BBC Science,https://www.bbc.com/news/articles/czr0zmzzp84o?at_medium=RSS&at_campaign=rss,12,2026-05-20 09:13:33
Thailand cuts visa-free stay period for more than 90 countries including UK,Many visitors who have been exempt for 60 days will soon have to apply for a visa after 30 days.,BBC World,https://www.bbc.com/news/articles/c78q3qjqnn5o?at_medium=RSS&at_campaign=rss,12,2026-05-20 09:13:33
"Ebola outbreak may be spreading faster than first thought, WHO doctor warns",Hundreds of cases are suspected in central Africa but experts fear the actual number may be much higher.,BBC Top Stories,https://www.bbc.com/news/articles/ceqp11gn1l8o?at_medium=RSS&at_campaign=rss,12,2026-05-20 09:13:33
What is Ebola and why is stopping the latest outbreak so difficult?,An outbreak of Ebola in DR Congo involves a rare strain and is in an area affected by conflict.,BBC World,https://www.bbc.com/news/articles/cz72p75zg4qo?at_medium=RSS&at_campaign=rss,12,2026-05-20 09:13:33
Victim or enabler? Epstein girlfriend who could face questions despite plea deal,Nadia Marcinko is relatively unknown but may soon be called before US legislators.,BBC World,https://www.bbc.com/news/articles/cz92j3n3jvvo?at_medium=RSS&at_campaign=rss,12,2026-05-20 09:13:33
Waste carrier licences to be tightened as part of illegal dumping crackdown,The proposed changes come after a cow named Beau Vine got approved for a waste removal licence.,BBC Science,https://www.bbc.com/news/articles/c707jlxwx38o?at_medium=RSS&at_campaign=rss,12,2026-05-20 09:13:33
X pledges quicker action on hate and terror content in the UK,Ofcom said the commitments were of particular importance after recent crimes targeting Jewish communities in the UK.,BBC Technology,https://www.bbc.com/news/articles/clyp9652v18o?at_medium=RSS&at_campaign=rss,12,2026-05-20 09:13:33
"Boats, fire and a TikTok song - inside Arsenal's title win",The inside story of how Mikel Arteta turned Arsenal from 'nearly men' into Premier League winners.,BBC Top Stories,https://www.bbc.com/sport/football/articles/c9v3jx1jmrwo?at_medium=RSS&at_campaign=rss,11,2026-05-20 09:13:33
Surrey Police investigating child sex abuse allegations after Epstein files release,The force said no arrests have been made in relation to the offences dating back to the 1980s and 1990s.,BBC Top Stories,https://www.bbc.com/news/articles/c0k2d2pl6x0o?at_medium=RSS&at_campaign=rss,11,2026-05-20 09:13:33
Man who murdered teen TikTok star in Pakistan gets death sentence,"Sana Yousaf's murder highlights a pattern of violence against women in Pakistan, activists say.",BBC Top Stories,https://www.bbc.com/news/articles/cvgzrgm0rgvo?at_medium=RSS&at_campaign=rss,11,2026-05-20 09:13:33
The Papers:  'Cap prices on staple foods' and 'Strictly's triple twist',The Treasury asks grocers to cap food costs and Strictly confirms a new hosting trio - the stories leading Wednesday's papers.,BBC Top Stories,https://www.bbc.com/news/articles/cy427zx435no?at_medium=RSS&at_campaign=rss,11,2026-05-20 09:13:33
Young drivers targeted by 'ghost brokers' selling fake car insurance online,The finance watchdog warns bogus brokers are selling fake car insurance through social media.,BBC Top Stories,https://www.bbc.com/news/articles/c1w29zw0q44o?at_medium=RSS&at_campaign=rss,11,2026-05-20 09:13:33
Was Married at First Sight UK an 'accident waiting to happen'?,Channel 4 has wider questions to answer after allegations made by three women who took part in the show.,BBC Top Stories,https://www.bbc.com/news/articles/c172x2vkxl5o?at_medium=RSS&at_campaign=rss,11,2026-05-20 09:13:33
Are Putin and Xi best friends? BBC breaks down their relationship,Laura Bicker and Steven Rosenberg explain the relationship between the leaders as the pair meet in Beijing.,BBC Top Stories,https://www.bbc.com/news/videos/ce9p1kyedy7o?at_medium=RSS&at_campaign=rss,11,2026-05-20 09:13:33
